
instrument_token,exchange_token,tradingsymbol,name,last_price,tick_size,instrument_type,segment,exchange,strike,lot_size,expiry
225537,881,NTPC,NTPC Ltd.,360.45,0.05,EQ,NSE,NSE,0,1,
2748929,10738,ONGC,Oil & Natural Gas Corporation Ltd.,270.60,0.05,EQ,NSE,NSE,0,1,
356865,1394,TATASTEEL,Tata Steel Ltd.,155.25,0.05,EQ,NSE,NSE,0,1,
2674433,10447,TECHM,Tech Mahindra Ltd.,1320.80,0.05,EQ,NSE,NSE,0,1,
3050241,11911,HINDALCO,Hindalco Industries Ltd.,630.90,0.05,EQ,NSE,NSE,0,1,
54273,212,M&M,Mahindra & Mahindra Ltd.,1920.35,0.05,EQ,NSE,NSE,0,1,
2905857,11351,BRITANNIA,Britannia Industries Ltd.,5470.60,0.05,EQ,NSE,NSE,0,1,
4880385,19064,DIVISLAB,Divi's Laboratories Ltd.,3780.75,0.05,EQ,NSE,NSE,0,1,
1346049,5258,BPCL,Bharat Petroleum Corporation Ltd.,575.40,0.05,EQ,NSE,NSE,0,1,
3357697,13116,EICHERMOT,Eicher Motors Ltd.,4250.30,0.05,EQ,NSE,NSE,0,1,
415745,1624,DRREDDY,Dr. Reddy's Laboratories Ltd.,5940.65,0.05,EQ,NSE,NSE,0,1,
197633,772,GRASIM,Grasim Industries Ltd.,2240.50,0.05,EQ,NSE,NSE,0,1,
3456257,13501,UPL,UPL Ltd.,470.25,0.05,EQ,NSE,NSE,0,1,
857857,3351,INDUSINDBK,IndusInd Bank Ltd.,1480.40,0.05,EQ,NSE,NSE,0,1,
408065,1594,TATACONSUM,Tata Consumer Products Ltd.,1120.30,0.05,EQ,NSE,NSE,0,1,
4343041,16965,CIPLA,Cipla Ltd.,1430.80,0.05,EQ,NSE,NSE,0,1,
160001,625,HEROMOTOCO,Hero MotoCorp Ltd.,3980.15,0.05,EQ,NSE,NSE,0,1,
1270529,4963,ADANIGREEN,Adani Green Energy Ltd.,1620.50,0.05,EQ,NSE,NSE,0,1,
3513601,13725,BHARTIARTLPP,Bharti Airtel Ltd. - Partly Paid,740.75,0.05,EQ,NSE,NSE,0,1,
2889473,11287,ATGL,Adani Total Gas Ltd.,780.60,0.05,EQ,NSE,NSE,0,1,
593665,2319,ASIANPAINTS,Asian Paints Ltd.,2980.25,0.05,EQ,NSE,NSE,0,1,
